name;WoSline;author;title;journal;year
MOHAMMED_N(2015)7:475;16925;Mohammed, NB; Space radiation environment of ALSAT-2 and its degradation effect on InGaP/InGaAs/Ge solar cells;AFR J SCI TECHNOL IN;2015
MCGIBBON_C(2015)16:81;16976;McGibbon, C; Integrating environmental sustainability issues into the curriculum through problem-based and project-based learning: a case study at the University of Cape Town;CURR OPIN ENV SUST;2015
PROCACCI_G(2015)7:2;17082;Procaccianti, G; A systematic literature review on energy efficiency in cloud software architectures;SUSTAIN COMPUT-INFOR;2015
KHOR_K(2015)16:571;17185;Khor, KS; Bridging the Gap of green_IT/IS and Sustainable Consumption;GLOB BUS REV;2015
BARTRAM_L(2015)35:52;17321;Bartram, L; Design Challenges and Opportunities for Eco-Feedback in the Home;IEEE COMPUT GRAPH;2015
SAMBHANT_A(2015)11:13;17384;Sambhanthan, A; Green Business Practices for Software Development Companies: An Explorative Text Analysis of Business Sustainability Reports;INT J ENTERP INF SYS;2015
KOTSEV_A(2015)8:353;17460;Kotsev, A; Building bridges: experiences and lessons learned from the implementation of INSPIRE and e-reporting of air quality data in Europe;EARTH SCI INFORM;2015
CIFRIAN_E(2015)53:258;17545;Cifrian, E; Developing a regional environmental_information_system based on macro-level waste indicators;ECOL INDIC;2015
HARMER_L(2015)92:204;17658;Harmer, LC; Using calibrated energy models for building commissioning and load prediction;ENERG BUILDINGS;2015
KERN_E(2015)52:53;17753;Kern, E; Impacts of software and its engineering on the carbon footprint of ICT;ENVIRON IMPACT ASSES;2015
SUPARTA_W(2015)21:213;17860;Suparta, W; Characteristics of Galactic Cosmic Ray in LEO/NEqO Orbit During a Solar Minimum;ADV SCI LETT;2015
